里,兄弟姊妹間暴力,老人保護,兒少保護,親密關係,其他家虐,低收,障礙,各里總案件數,全部案件類型,女,男,小於18歲,18到65歲,大於65歲
臺北市信義區中行里,70%,0%,0%,42%,99%,54%,0%,31,,70.97%,29.03%,6%,84%,10%
臺北市文山區華興里,0%,50%,73%,86%,76%,78%,0%,31,,64.52%,35.48%,6%,90%,3%
臺北市內湖區葫洲里,,0%,0%,91%,86%,34%,0%,31,,61.29%,35.48%,16%,74%,10%
臺北市內湖區安泰里,,91%,94%,86%,50%,97%,63%,31,,74.19%,25.81%,23%,65%,13%
臺北市中山區劍潭里,0%,50%,89%,76%,82%,34%,0%,31,,64.52%,35.48%,3%,84%,13%
臺北市中山區中山里,0%,0%,43%,96%,50%,34%,0%,31,,74.19%,25.81%,0%,87%,13%
臺北市大同區南芳里,70%,,43%,91%,76%,97%,99%,31,,77.42%,22.58%,3%,77%,19%
臺北市萬華區興德里,,79%,,91%,76%,91%,1%,30,,73.33%,26.67%,7%,77%,17%
臺北市信義區松友里,0%,50%,0%,76%,91%,54%,0%,30,,76.67%,23.33%,10%,80%,10%
臺北市松山區東光里,,0%,43%,96%,50%,91%,81%,30,,73.33%,23.33%,10%,80%,10%
臺北市北投區開明里,0%,50%,43%,49%,98%,54%,81%,30,,63.33%,33.33%,23%,73%,3%
臺北市北投區一德里,87%,,73%,64%,91%,54%,81%,30,,76.67%,20.00%,7%,63%,30%
臺北市內湖區港華里,0%,0%,0%,86%,86%,0%,1%,30,,70.00%,30.00%,7%,87%,7%
臺北市內湖區清白里,0%,,0%,96%,59%,71%,93%,30,,50.00%,50.00%,3%,70%,27%
臺北市大安區通安里,0%,,97%,86%,59%,0%,0%,30,,60.00%,36.67%,10%,80%,10%
臺北市大同區玉泉里,0%,50%,0%,70%,94%,0%,0%,30,,70.00%,30.00%,7%,93%,0%
臺北市南港區合成里,70%,50%,43%,81%,70%,0%,0%,29,,68.97%,31.03%,10%,76%,14%
臺北市北投區榮華里,,50%,73%,88%,59%,0%,0%,29,,79.31%,13.79%,3%,59%,38%
臺北市北投區振華里,87%,0%,,76%,86%,34%,1%,29,,79.31%,20.69%,21%,59%,21%
臺北市文山區興福里,,50%,89%,76%,76%,34%,1%,29,,72.41%,27.59%,21%,66%,14%
臺北市內湖區紫星里,0%,99%,0%,81%,39%,0%,0%,29,,72.41%,27.59%,7%,66%,28%
臺北市內湖區西湖里,,0%,73%,49%,98%,0%,1%,29,,75.86%,24.14%,7%,79%,14%
臺北市大同區延平里,70%,0%,,93%,59%,54%,81%,29,,62.07%,37.93%,14%,83%,3%
臺北市士林區舊佳里,0%,91%,43%,55%,86%,0%,0%,29,,68.97%,31.03%,31%,69%,0%
臺北市士林區名山里,,,73%,81%,86%,0%,0%,29,,68.97%,31.03%,14%,76%,10%
臺北市士林區天和里,0%,50%,43%,88%,59%,95%,96%,29,,44.83%,55.17%,14%,76%,10%
臺北市萬華區錦德里,,50%,73%,76%,76%,71%,1%,28,,60.71%,35.71%,18%,61%,21%
臺北市萬華區壽德里,0%,,0%,88%,76%,78%,63%,28,,60.71%,39.29%,21%,61%,18%
臺北市萬華區頂碩里,,,,88%,86%,34%,0%,28,,71.43%,28.57%,7%,89%,4%
臺北市南港區東新里,,0%,73%,81%,76%,54%,63%,28,,60.71%,39.29%,21%,54%,25%
臺北市信義區黎平里,,79%,43%,81%,70%,34%,0%,28,,67.86%,32.14%,7%,93%,0%
臺北市中山區圓山里,0%,,,94%,59%,0%,0%,28,,75.00%,21.43%,7%,86%,7%
臺北市士林區福安里,,0%,0%,76%,91%,78%,0%,28,,57.14%,42.86%,7%,79%,14%
臺北市士林區社子里,87%,50%,43%,34%,94%,95%,81%,28,,89.29%,10.71%,0%,89%,11%
臺北市萬華區日善里,0%,50%,94%,42%,82%,78%,1%,27,,66.67%,33.33%,11%,63%,26%
臺北市北投區奇岩里,70%,,73%,70%,76%,91%,1%,27,,59.26%,40.74%,22%,70%,7%
臺北市北投區中央里,70%,,89%,55%,82%,78%,1%,27,,88.89%,11.11%,7%,81%,11%
臺北市內湖區湖興里,0%,50%,0%,94%,16%,0%,0%,27,,51.85%,48.15%,26%,63%,11%
臺北市中山區集英里,,79%,43%,64%,82%,54%,0%,27,,70.37%,22.22%,7%,81%,11%
臺北市中山區康樂里,0%,50%,0%,91%,39%,34%,0%,27,,70.37%,29.63%,11%,85%,4%
臺北市中山區行仁里,,0%,0%,81%,82%,0%,0%,27,,62.96%,37.04%,7%,85%,7%
臺北市大同區隆和里,87%,50%,43%,76%,50%,86%,0%,27,,70.37%,29.63%,4%,89%,7%
臺北市萬華區福星里,,,0%,88%,70%,54%,1%,26,,80.77%,19.23%,8%,81%,12%
臺北市信義區景聯里,0%,0%,73%,76%,59%,0%,0%,26,,61.54%,34.62%,8%,69%,23%
臺北市松山區自強里,70%,0%,43%,49%,86%,54%,1%,26,,73.08%,26.92%,8%,92%,0%
臺北市北投區桃源里,0%,,43%,81%,70%,34%,0%,26,,73.08%,26.92%,4%,69%,27%
臺北市北投區長安里,,50%,0%,64%,86%,99%,0%,26,,57.69%,42.31%,12%,77%,12%
臺北市文山區興家里,87%,,0%,88%,39%,71%,1%,26,,73.08%,26.92%,12%,77%,12%
臺北市文山區興光里,,,0%,88%,70%,86%,1%,26,,80.77%,19.23%,4%,88%,8%
臺北市文山區博嘉里,0%,,43%,64%,86%,78%,63%,26,,61.54%,38.46%,15%,85%,0%
臺北市文山區明興里,,,73%,70%,82%,91%,1%,26,,73.08%,26.92%,8%,81%,12%
臺北市內湖區湖元里,,,43%,76%,82%,0%,0%,26,,73.08%,26.92%,4%,92%,4%
臺北市內湖區安湖里,0%,,0%,91%,50%,0%,0%,26,,80.77%,19.23%,15%,73%,12%
臺北市內湖區內湖里,,,0%,64%,94%,0%,0%,26,,73.08%,26.92%,4%,85%,12%
臺北市大安區臨江里,0%,50%,0%,64%,82%,0%,0%,26,,42.31%,57.69%,4%,81%,15%
臺北市大安區義安里,,91%,,64%,82%,0%,0%,26,,57.69%,42.31%,12%,88%,0%
臺北市大安區光武里,,50%,43%,81%,59%,54%,0%,26,,69.23%,30.77%,12%,73%,15%
臺北市大同區斯文里,70%,,,81%,76%,0%,0%,26,,65.38%,34.62%,12%,81%,8%
臺北市士林區福佳里,0%,0%,0%,70%,82%,71%,81%,26,,80.77%,19.23%,19%,65%,15%
臺北市萬華區萬壽里,,,73%,94%,7%,34%,63%,25,,72.00%,28.00%,8%,60%,32%
臺北市萬華區新和里,0%,50%,43%,64%,70%,0%,1%,25,,60.00%,40.00%,12%,80%,8%
臺北市南港區西新里,,,89%,70%,70%,71%,1%,25,,68.00%,32.00%,8%,56%,36%
臺北市南港區百福里,0%,50%,43%,70%,59%,71%,0%,25,,80.00%,16.00%,12%,68%,20%
臺北市信義區六合里,0%,79%,43%,42%,82%,54%,0%,25,,60.00%,40.00%,24%,68%,8%
臺北市信義區大道里,87%,95%,43%,34%,59%,78%,81%,25,,80.00%,20.00%,0%,84%,16%
臺北市北投區裕民里,0%,50%,0%,81%,50%,54%,0%,25,,64.00%,36.00%,20%,72%,8%
臺北市北投區智仁里,,,0%,76%,82%,86%,1%,25,,40.00%,60.00%,20%,64%,16%
臺北市文山區興豐里,,,0%,55%,94%,34%,63%,25,,68.00%,28.00%,12%,68%,20%
臺北市文山區興得里,0%,,,86%,70%,34%,0%,25,,76.00%,24.00%,8%,84%,8%
臺北市文山區樟文里,,0%,73%,70%,70%,97%,0%,25,,76.00%,24.00%,16%,72%,12%
臺北市文山區萬興里,70%,79%,97%,27%,59%,0%,0%,25,,64.00%,36.00%,16%,80%,4%
臺北市文山區萬祥里,0%,50%,73%,49%,76%,78%,1%,25,,72.00%,28.00%,16%,72%,12%
臺北市文山區指南里,,50%,73%,42%,86%,54%,1%,25,,56.00%,44.00%,8%,80%,12%
臺北市文山區木柵里,70%,0%,73%,34%,86%,0%,0%,25,,64.00%,36.00%,12%,80%,8%
臺北市中山區新庄里,87%,,43%,42%,86%,0%,0%,25,,76.00%,24.00%,16%,72%,12%
臺北市中山區大直里,87%,,73%,70%,50%,0%,0%,25,,68.00%,32.00%,32%,56%,12%
臺北市大同區永樂里,0%,0%,73%,49%,82%,0%,0%,25,,72.00%,28.00%,8%,72%,20%
臺北市萬華區綠堤里,,50%,89%,55%,59%,86%,0%,24,,66.67%,33.33%,4%,92%,4%
臺北市萬華區新安里,70%,0%,43%,64%,59%,95%,1%,24,,79.17%,20.83%,29%,54%,17%
臺北市萬華區和平里,,0%,0%,70%,76%,86%,81%,24,,66.67%,33.33%,33%,63%,4%
臺北市信義區雙和里,0%,0%,0%,76%,59%,0%,1%,24,,79.17%,20.83%,0%,92%,8%
臺北市信義區長春里,87%,50%,0%,76%,30%,54%,63%,24,,75.00%,25.00%,8%,79%,13%
臺北市北投區大同里,,0%,43%,70%,70%,78%,1%,24,,66.67%,33.33%,4%,79%,17%
臺北市內湖區紫雲里,,91%,0%,70%,50%,0%,0%,24,,58.33%,41.67%,4%,71%,25%
臺北市內湖區湖濱里,70%,0%,,86%,39%,0%,0%,24,,62.50%,37.50%,8%,88%,4%
臺北市內湖區康寧里,0%,50%,73%,49%,70%,91%,0%,24,,66.67%,33.33%,25%,67%,8%
臺北市內湖區東湖里,0%,0%,0%,86%,39%,34%,0%,24,,70.83%,29.17%,0%,83%,17%
臺北市中山區正義里,,0%,73%,81%,39%,34%,1%,24,,79.17%,20.83%,8%,79%,13%
臺北市中山區下埤里,,0%,89%,64%,59%,0%,0%,24,,79.17%,20.83%,4%,88%,8%
臺北市大安區通化里,,,73%,91%,16%,34%,0%,24,,75.00%,25.00%,21%,75%,4%
臺北市士林區福中里,0%,50%,,70%,70%,0%,0%,24,,70.83%,29.17%,13%,75%,13%
臺北市士林區葫蘆里,0%,0%,43%,81%,39%,94%,96%,24,,54.17%,45.83%,8%,71%,21%
臺北市士林區聖山里,0%,,,55%,91%,0%,0%,24,,45.83%,54.17%,8%,71%,21%
臺北市士林區天祿里,,50%,0%,76%,59%,0%,1%,24,,87.50%,12.50%,13%,79%,8%
臺北市信義區永春里,,50%,,42%,91%,0%,0%,23,,73.91%,26.09%,13%,74%,13%
臺北市信義區四育里,,,0%,64%,82%,0%,0%,23,,86.96%,13.04%,13%,83%,4%
臺北市松山區東榮里,0%,0%,94%,27%,76%,0%,0%,23,,69.57%,21.74%,4%,83%,13%
臺北市文山區樟腳里,87%,50%,89%,14%,76%,34%,0%,23,,73.91%,26.09%,13%,74%,13%
臺北市內湖區碧山里,0%,50%,0%,64%,59%,0%,1%,23,,69.57%,30.43%,0%,87%,13%
臺北市中山區金泰里,0%,50%,43%,81%,16%,0%,0%,23,,73.91%,26.09%,22%,70%,9%
臺北市大安區建安里,,,0%,76%,70%,0%,0%,23,,82.61%,17.39%,9%,83%,9%
臺北市大同區大有里,87%,0%,73%,42%,59%,0%,0%,23,,73.91%,26.09%,4%,78%,17%
臺北市士林區葫東里,70%,0%,73%,55%,50%,86%,63%,23,,65.22%,34.78%,17%,70%,13%
臺北市士林區天母里,,0%,73%,64%,59%,0%,0%,23,,78.26%,21.74%,22%,74%,4%
臺北市萬華區華中里,0%,50%,43%,55%,50%,71%,0%,22,,59.09%,40.91%,18%,59%,23%
臺北市萬華區忠貞里,,50%,89%,64%,30%,91%,81%,22,,59.09%,40.91%,0%,68%,32%
臺北市南港區聯成里,,0%,,55%,82%,34%,0%,22,,77.27%,22.73%,14%,68%,18%
臺北市南港區三重里,0%,,0%,81%,39%,0%,0%,22,,63.64%,36.36%,5%,91%,5%
臺北市信義區雅祥里,0%,,43%,55%,70%,0%,1%,22,,59.09%,40.91%,0%,86%,14%
臺北市松山區新東里,0%,,43%,55%,70%,0%,0%,22,,54.55%,45.45%,18%,64%,18%
臺北市松山區富泰里,,79%,0%,49%,70%,0%,1%,22,,63.64%,27.27%,9%,50%,41%
臺北市松山區中正里,,0%,0%,81%,39%,0%,0%,22,,63.64%,31.82%,9%,77%,14%
臺北市文山區興邦里,,97%,0%,49%,39%,78%,0%,22,,81.82%,18.18%,18%,73%,9%
臺北市文山區萬隆里,0%,,43%,55%,70%,54%,0%,22,,50.00%,45.45%,18%,77%,5%
臺北市中山區中原里,87%,0%,0%,55%,50%,54%,0%,22,,77.27%,18.18%,5%,86%,9%
臺北市大安區仁愛里,0%,91%,,49%,59%,0%,0%,22,,45.45%,50.00%,18%,59%,23%
臺北市大同區蓬萊里,,0%,73%,55%,59%,34%,0%,22,,72.73%,27.27%,9%,77%,14%
臺北市大同區國慶里,,0%,0%,8%,98%,54%,0%,22,,72.73%,27.27%,9%,86%,5%
臺北市士林區蘭興里,0%,,0%,42%,86%,0%,0%,22,,90.91%,9.09%,5%,77%,18%
臺北市士林區富光里,,79%,89%,34%,59%,54%,1%,22,,63.64%,36.36%,5%,77%,18%
臺北市士林區天山里,0%,50%,0%,55%,59%,0%,0%,22,,81.82%,18.18%,18%,82%,0%
臺北市萬華區菜園里,70%,,73%,64%,30%,54%,0%,21,,95.24%,0.00%,5%,67%,29%
臺北市萬華區青山里,,79%,0%,76%,16%,54%,0%,21,,66.67%,33.33%,24%,76%,0%
臺北市萬華區全德里,,,,70%,70%,0%,0%,21,,66.67%,33.33%,14%,76%,10%
臺北市南港區玉成里,,,97%,49%,39%,71%,63%,21,,42.86%,57.14%,14%,86%,0%
臺北市南港區中南里,0%,,0%,27%,91%,0%,0%,21,,85.71%,9.52%,10%,86%,5%
臺北市信義區興雅里,0%,50%,,76%,30%,0%,0%,21,,71.43%,28.57%,10%,81%,10%
臺北市松山區龍田里,,0%,0%,70%,50%,0%,1%,21,,76.19%,23.81%,19%,62%,19%
臺北市北投區榮光里,70%,50%,0%,64%,30%,0%,1%,21,,66.67%,33.33%,10%,81%,10%
臺北市文山區興昌里,,0%,0%,70%,50%,0%,1%,21,,52.38%,47.62%,10%,71%,19%
臺北市文山區樟新里,,,73%,55%,59%,54%,1%,21,,71.43%,23.81%,10%,86%,5%
臺北市文山區景慶里,,,73%,55%,59%,0%,0%,21,,66.67%,28.57%,5%,90%,5%
臺北市文山區景行里,,79%,43%,70%,16%,0%,0%,21,,71.43%,23.81%,0%,86%,14%
臺北市內湖區紫陽里,,79%,,70%,39%,0%,0%,21,,80.95%,19.05%,10%,62%,29%
臺北市內湖區金龍里,,,43%,81%,30%,78%,63%,21,,71.43%,28.57%,10%,76%,14%
臺北市內湖區金瑞里,87%,0%,0%,49%,50%,0%,0%,21,,61.90%,38.10%,19%,81%,0%
臺北市內湖區行善里,0%,79%,43%,55%,30%,0%,1%,21,,57.14%,42.86%,29%,71%,0%
臺北市內湖區石潭里,0%,,43%,81%,16%,0%,0%,21,,76.19%,23.81%,14%,62%,24%
臺北市中山區永安里,,0%,43%,55%,59%,78%,0%,21,,71.43%,28.57%,29%,62%,10%
臺北市大安區光信里,0%,,94%,55%,30%,78%,81%,21,,52.38%,38.10%,24%,67%,10%
臺北市大同區建明里,,79%,,34%,82%,0%,0%,21,,66.67%,33.33%,5%,90%,5%
臺北市大同區民權里,87%,0%,43%,64%,16%,54%,0%,21,,61.90%,38.10%,0%,67%,33%
臺北市萬華區忠德里,,,73%,49%,59%,97%,81%,20,,80.00%,20.00%,5%,75%,20%
臺北市萬華區孝德里,0%,0%,,55%,59%,54%,0%,20,,80.00%,20.00%,5%,90%,5%
臺北市南港區南港里,0%,79%,0%,55%,30%,34%,0%,20,,70.00%,30.00%,0%,75%,25%
臺北市南港區東明里,0%,,,20%,94%,0%,1%,20,,60.00%,40.00%,20%,70%,10%
臺北市信義區景新里,,,0%,55%,70%,0%,0%,20,,65.00%,35.00%,10%,80%,10%
臺北市信義區敦厚里,0%,0%,0%,76%,16%,0%,0%,20,,65.00%,35.00%,15%,75%,10%
臺北市信義區國業里,,0%,43%,70%,30%,0%,0%,20,,75.00%,25.00%,5%,90%,5%
臺北市信義區安康里,,79%,0%,42%,59%,0%,0%,20,,75.00%,20.00%,20%,60%,20%
臺北市信義區三犁里,0%,,73%,55%,39%,78%,0%,20,,85.00%,15.00%,15%,75%,10%
臺北市松山區吉仁里,0%,0%,,55%,59%,0%,0%,20,,70.00%,30.00%,5%,85%,10%
臺北市中正區南福里,,50%,0%,76%,16%,34%,0%,20,,85.00%,15.00%,5%,90%,5%
臺北市中正區林興里,,50%,0%,49%,59%,0%,0%,20,,85.00%,15.00%,15%,70%,15%
臺北市中正區永功里,0%,0%,43%,34%,70%,0%,1%,20,,80.00%,20.00%,0%,95%,5%
臺北市中山區朱馥里,,,94%,70%,7%,34%,1%,20,,70.00%,30.00%,25%,75%,0%
臺北市中山區正得里,,,,93%,0%,0%,0%,20,,55.00%,45.00%,5%,45%,50%
臺北市大安區黎元里,,79%,0%,27%,76%,54%,0%,20,,85.00%,15.00%,10%,65%,25%
臺北市大安區大學里,87%,0%,0%,42%,50%,0%,0%,20,,85.00%,15.00%,20%,75%,5%
臺北市大同區老師里,,0%,,55%,70%,54%,63%,20,,80.00%,20.00%,10%,60%,30%
臺北市士林區前港里,0%,0%,0%,64%,39%,54%,0%,20,,70.00%,30.00%,0%,95%,5%
臺北市士林區忠誠里,0%,91%,0%,42%,39%,34%,0%,20,,60.00%,40.00%,15%,80%,5%
臺北市信義區廣居里,,50%,0%,34%,70%,0%,0%,19,,73.68%,26.32%,5%,84%,11%
臺北市松山區新聚里,,,,81%,30%,0%,0%,19,,63.16%,36.84%,5%,89%,5%
臺北市北投區立農里,0%,50%,0%,34%,59%,54%,0%,19,,63.16%,36.84%,21%,68%,11%
臺北市北投區永欣里,0%,,0%,55%,50%,34%,63%,19,,84.21%,15.79%,0%,100%,0%
臺北市內湖區寶湖里,,,43%,70%,30%,54%,0%,19,,52.63%,47.37%,16%,84%,0%
臺北市中山區新福里,,0%,43%,42%,59%,0%,0%,19,,73.68%,26.32%,5%,74%,21%
臺北市大安區黎和里,,,,88%,7%,34%,63%,19,,89.47%,10.53%,0%,79%,21%
臺北市大安區群賢里,,50%,,76%,16%,34%,1%,19,,73.68%,26.32%,5%,89%,5%
臺北市大同區保安里,,,43%,34%,76%,54%,1%,19,,89.47%,10.53%,11%,89%,0%
臺北市士林區蘭雅里,,,43%,86%,0%,0%,0%,19,,68.42%,31.58%,5%,79%,16%
臺北市士林區富洲里,0%,,43%,42%,59%,86%,0%,19,,57.89%,42.11%,11%,79%,11%
臺北市萬華區雙園里,70%,,43%,42%,39%,54%,63%,18,,55.56%,38.89%,11%,78%,11%
臺北市萬華區銘德里,70%,0%,43%,34%,39%,34%,0%,18,,66.67%,27.78%,0%,100%,0%
臺北市萬華區富福里,,,43%,55%,39%,0%,0%,18,,83.33%,16.67%,11%,56%,33%
臺北市萬華區富民里,0%,,,64%,39%,0%,0%,18,,61.11%,38.89%,0%,100%,0%
臺北市萬華區柳鄉里,0%,79%,43%,27%,39%,54%,63%,18,,72.22%,27.78%,6%,72%,22%
臺北市萬華區日祥里,,95%,0%,42%,16%,34%,1%,18,,44.44%,50.00%,11%,89%,0%
臺北市南港區新富里,0%,50%,43%,49%,16%,0%,0%,18,,72.22%,27.78%,6%,72%,22%
臺北市南港區中研里,0%,79%,0%,49%,16%,0%,1%,18,,61.11%,27.78%,33%,50%,17%
臺北市信義區惠安里,,,0%,34%,76%,0%,0%,18,,61.11%,38.89%,11%,72%,17%
臺北市信義區五全里,,0%,43%,64%,16%,0%,0%,18,,77.78%,22.22%,0%,94%,6%
臺北市信義區大仁里,0%,50%,43%,20%,59%,0%,0%,18,,66.67%,33.33%,17%,67%,17%
臺北市松山區三民里,0%,0%,,55%,39%,0%,0%,18,,77.78%,22.22%,11%,61%,28%
臺北市北投區林泉里,0%,0%,43%,27%,59%,34%,0%,18,,88.89%,5.56%,11%,72%,17%
臺北市北投區中庸里,0%,91%,,64%,0%,71%,1%,18,,94.44%,5.56%,11%,67%,22%
臺北市北投區八仙里,0%,79%,94%,14%,30%,34%,0%,18,,77.78%,22.22%,0%,78%,22%
臺北市文山區興業里,70%,,,55%,39%,34%,0%,18,,66.67%,33.33%,11%,67%,22%
臺北市文山區興安里,70%,0%,,34%,59%,34%,1%,18,,77.78%,22.22%,0%,89%,11%
臺北市文山區景華里,70%,50%,0%,27%,50%,86%,63%,18,,77.78%,22.22%,0%,78%,22%
臺北市文山區景東里,,0%,0%,34%,70%,0%,0%,18,,72.22%,27.78%,6%,78%,17%
臺北市內湖區週美里,,0%,0%,49%,50%,0%,0%,18,,88.89%,11.11%,6%,78%,17%
臺北市內湖區金湖里,,50%,0%,76%,0%,0%,0%,18,,72.22%,22.22%,11%,67%,22%
臺北市中正區螢圃里,0%,0%,0%,42%,50%,54%,1%,18,,77.78%,16.67%,0%,83%,17%
臺北市中正區板溪里,,91%,,34%,50%,0%,0%,18,,83.33%,16.67%,11%,72%,17%
臺北市中山區江寧里,,0%,,49%,59%,0%,0%,18,,72.22%,27.78%,17%,61%,22%
臺北市中山區民安里,70%,,43%,34%,50%,0%,0%,18,,83.33%,11.11%,0%,89%,11%
臺北市中山區中庄里,0%,0%,73%,42%,30%,0%,0%,18,,55.56%,38.89%,11%,78%,11%
臺北市大安區龍圖里,0%,0%,,42%,59%,0%,0%,18,,61.11%,38.89%,22%,72%,6%
臺北市大安區芳和里,0%,0%,0%,42%,50%,0%,0%,18,,61.11%,33.33%,11%,67%,22%
臺北市大安區民輝里,,0%,0%,76%,7%,34%,0%,18,,72.22%,27.78%,17%,61%,22%
臺北市大安區民炤里,,50%,73%,55%,7%,0%,0%,18,,77.78%,22.22%,11%,50%,39%
臺北市大同區國順里,70%,0%,73%,14%,59%,95%,93%,18,,77.78%,22.22%,6%,67%,28%
臺北市士林區福志里,,0%,,55%,50%,0%,0%,18,,66.67%,27.78%,17%,72%,11%
臺北市萬華區新起里,,,0%,70%,16%,0%,0%,17,,64.71%,35.29%,6%,65%,29%
臺北市南港區仁福里,,50%,43%,49%,16%,54%,1%,17,,70.59%,29.41%,6%,82%,12%
臺北市信義區景勤里,,50%,0%,20%,70%,78%,0%,17,,88.24%,11.76%,12%,71%,18%
臺北市信義區富台里,,0%,89%,20%,50%,0%,0%,17,,52.94%,47.06%,18%,71%,12%
臺北市信義區正和里,,79%,,55%,16%,0%,0%,17,,88.24%,11.76%,29%,65%,6%
臺北市信義區五常里,,0%,43%,55%,16%,0%,0%,17,,64.71%,35.29%,18%,82%,0%
臺北市松山區介壽里,0%,,,76%,7%,0%,0%,17,,82.35%,17.65%,12%,76%,12%
