,town,avg_predict,,
298,萬芳里,1.33871008679581,,
299,萬福里,1.60215833333333,,
300,萬和里,1.34362550084827,,
301,萬隆里,1.31834843176111,,
302,萬美里,1.24495222134832,,
303,萬年里,1.27708062025694,,
304,萬盛里,1.20531988082093,,
305,萬壽里,1.24029693867814,,
306,萬祥里,1.27723533741855,,
307,萬興里,1.13921162995501,,
308,萬有里,1.30611923076923,,
309,網溪里,1.45890747042511,,
310,溫泉里,1.21666558787188,,
311,文北里,1.66097868946082,,
312,文化里,1.35874440137194,,
313,文林里,1.21942978425759,,
314,文盛里,1.27278246420395,,
315,文祥里,1.29493148713873,,
316,五常里,1.30887820155994,,
317,五分里,1.32113228351688,,
318,五全里,1.32217342252722,,
319,溪山里,1.1611,,
320,西安里,1.11476767881242,,
321,西村里,1.19605941980061,,
322,西湖里,1.37754026549218,,
323,西康里,1.23028825303278,,
324,西門里,1.29221266371671,,
325,西新里,1.25953929529732,,
326,下埤里,1.28864297188503,,
327,孝德里,1.20765770041488,,
328,新安里,1.35256562593336,,
329,新東里,1.21076864034175,,
330,新福里,1.31697157529188,,
331,新富里,1.36520260429313,,
332,新光里,1.347480463586,,
333,新和里,1.29271265165272,,
334,新聚里,1.23944778168995,,
335,新龍里,1.25463777967818,,
336,新起里,1.25704408314974,,
337,新仁里,1.36695471270216,,
338,新生里,1.19867570533154,,
339,新喜里,1.04305667585339,,
340,新益里,1.37781437843998,,
341,新營里,1.42243170722071,,
342,新忠里,1.37918103890028,,
343,新庄里,1.24774822443986,,
344,星明里,1.28026796896112,,
345,行仁里,1.29499123923016,,
346,行善里,1.26627326314037,,
347,行孝里,1.16500908434999,,
348,行政里,1.19911385661123,,
349,幸福里,1.31757240783876,,
350,幸市里,1.24610315713526,,
351,興安里,1.3038421245924,,
352,興邦里,1.26371236287019,,
353,興昌里,1.25142536454773,,
354,興得里,1.26496734799138,,
355,興德里,1.55729579556782,,
356,興豐里,1.31094143606027,,
357,興福里,1.38072895532841,,
358,興光里,1.25791648584335,,
359,興家里,1.35488273742453,,
360,興隆里,1.32265133759634,,
361,興泰里,1.38140193978708,,
362,興旺里,1.28511987813778,,
363,興雅里,1.26487675280731,,
364,興亞里,1.22941496713163,,
365,興業里,1.32055930172382,,
366,秀湖里,1.32007581139621,,
367,秀山里,1.26505760795577,,
368,學府里,1,,
369,雅祥里,1.38633429814345,,
370,延平里,1.22736747470216,,
371,岩山里,1.25026360498097,,
372,陽明里,1.38553974358974,,
373,揚雅里,1.18866487706039,,
374,一德里,1.34703933435067,,
375,義安里,1.2656373263903,,
376,義村里,1.19168783781528,,
377,義信里,1.1971286990787,,
378,螢圃里,1.35172598027802,,
379,螢雪里,1.38559819211005,,
380,永安里,1.20276162207358,,
381,永昌里,1.41262641872869,,
382,永春里,1.26114082090749,,
383,永福里,1.18318453077137,,
384,永功里,1.25253947136446,,
385,永和里,1.20506430797988,,
386,永吉里,1.2639110388174,,
387,永康里,1.11019807692308,,
388,永樂里,1.25342305749806,,
389,永倫里,1.29151134250593,,
390,永明里,1.4181994643728,,
391,永欣里,1.23842420225739,,
392,玉成里,1.54159489444154,,
393,玉泉里,1.2489406435307,,
394,裕民里,1.29685907580718,,
395,圓山里,1.41971938495228,,
396,樟腳里,1.19860335497836,,
397,樟林里,1.30125353535354,,
398,樟樹里,1.28377863011914,,
399,樟文里,1.39712824563544,,
400,樟新里,1.28473118189083,,
401,長安里,1.43868300501512,,
402,長春里,1.13814528147291,,
403,振華里,1.19527733158654,,
404,正得里,1.24182285068553,,
405,正和里,1.45221987686777,,
