里,兄弟姊妹間暴力,老人保護,兒少保護,其他家虐,親密關係,低收,障礙,各里總案件數,女,男,小於18歲,18到65歲,大於65歲
臺北市士林區天壽里,,,3,5,8,0%,1%,16,75.00%,25.00%,25%,75%,0%
臺北市萬華區凌霄里,2,1,1,6,5,71%,0%,15,66.67%,33.33%,7%,53%,40%
臺北市信義區松隆里,,,2,7,6,0%,0%,15,66.67%,33.33%,20%,73%,7%
臺北市松山區敦化里,1,2,,6,6,0%,0%,15,60.00%,40.00%,7%,73%,20%
臺北市松山區富錦里,,,2,2,11,0%,0%,15,60.00%,40.00%,0%,73%,27%
臺北市北投區稻香里,1,,,6,8,34%,1%,15,80.00%,20.00%,0%,80%,20%
臺北市北投區吉慶里,1,2,,4,8,0%,0%,15,60.00%,40.00%,0%,60%,40%
臺北市文山區景仁里,2,,2,5,6,0%,0%,15,73.33%,20.00%,13%,67%,20%
臺北市中正區新營里,1,1,,5,8,34%,63%,15,66.67%,33.33%,7%,80%,13%
臺北市中正區頂東里,,2,1,5,7,34%,0%,15,66.67%,33.33%,20%,80%,0%
臺北市中正區梅花里,,3,,4,8,0%,0%,15,86.67%,13.33%,13%,87%,0%
臺北市中正區幸福里,,1,,5,9,0%,0%,15,60.00%,26.67%,13%,73%,13%
臺北市中山區興亞里,,,,5,10,54%,1%,15,60.00%,40.00%,20%,67%,13%
臺北市大安區德安里,,,,7,8,0%,0%,15,80.00%,20.00%,13%,80%,7%
臺北市大安區建倫里,1,,2,3,9,0%,0%,15,73.33%,26.67%,0%,100%,0%
臺北市大安區車層里,1,1,1,5,7,0%,1%,15,80.00%,20.00%,0%,93%,7%
臺北市大同區建泰里,1,,1,7,6,0%,0%,15,73.33%,26.67%,13%,80%,7%
臺北市士林區福林里,,,2,6,7,0%,0%,15,60.00%,40.00%,7%,67%,27%
臺北市萬華區糖部里,,1,1,4,8,34%,0%,14,57.14%,42.86%,14%,71%,14%
臺北市萬華區榮德里,,1,2,5,6,0%,0%,14,64.29%,35.71%,14%,50%,36%
臺北市南港區新光里,,,1,3,10,0%,0%,14,64.29%,35.71%,7%,86%,7%
臺北市信義區黎順里,1,,1,7,5,0%,0%,14,64.29%,35.71%,14%,79%,7%
