里,兄弟姊妹間暴力,老人保護,兒少保護,其他家虐,親密關係,低收,障礙,各里總案件數
臺北市信義區三犁里,0%,,73%,39%,55%,78%,0%,20
臺北市松山區吉仁里,0%,0%,,59%,55%,0%,0%,20
臺北市中正區南福里,,50%,0%,16%,76%,34%,0%,20
臺北市中正區林興里,,50%,0%,59%,49%,0%,0%,20
臺北市中正區永功里,0%,0%,43%,70%,34%,0%,1%,20
臺北市中山區朱馥里,,,94%,7%,70%,34%,1%,20
臺北市中山區正得里,,,,0%,93%,0%,0%,20
臺北市大安區黎元里,,79%,0%,76%,27%,54%,0%,20
臺北市大安區大學里,87%,0%,0%,50%,42%,0%,0%,20
臺北市大同區老師里,,0%,,70%,55%,54%,63%,20
臺北市士林區前港里,0%,0%,0%,39%,64%,54%,0%,20
臺北市士林區忠誠里,0%,91%,0%,39%,42%,34%,0%,20
臺北市信義區廣居里,,50%,0%,70%,34%,0%,0%,19
臺北市松山區新聚里,,,,30%,81%,0%,0%,19
臺北市北投區立農里,0%,50%,0%,59%,34%,54%,0%,19
臺北市北投區永欣里,0%,,0%,50%,55%,34%,63%,19
臺北市內湖區寶湖里,,,43%,30%,70%,54%,0%,19
臺北市中山區新福里,,0%,43%,59%,42%,0%,0%,19
臺北市大安區黎和里,,,,7%,88%,34%,63%,19
臺北市大安區群賢里,,50%,,16%,76%,34%,1%,19
臺北市大同區保安里,,,43%,76%,34%,54%,1%,19
臺北市士林區蘭雅里,,,43%,0%,86%,0%,0%,19
臺北市士林區富洲里,0%,,43%,59%,42%,86%,0%,19
臺北市萬華區雙園里,70%,,43%,39%,42%,54%,63%,18
臺北市萬華區銘德里,70%,0%,43%,39%,34%,34%,0%,18
臺北市萬華區富福里,,,43%,39%,55%,0%,0%,18
臺北市萬華區富民里,0%,,,39%,64%,0%,0%,18
臺北市萬華區柳鄉里,0%,79%,43%,39%,27%,54%,63%,18
臺北市萬華區日祥里,,95%,0%,16%,42%,34%,1%,18
臺北市南港區新富里,0%,50%,43%,16%,49%,0%,0%,18
臺北市南港區中研里,0%,79%,0%,16%,49%,0%,1%,18
臺北市信義區惠安里,,,0%,76%,34%,0%,0%,18
臺北市信義區五全里,,0%,43%,16%,64%,0%,0%,18
臺北市信義區大仁里,0%,50%,43%,59%,20%,0%,0%,18
臺北市松山區三民里,0%,0%,,39%,55%,0%,0%,18
臺北市北投區林泉里,0%,0%,43%,59%,27%,34%,0%,18
臺北市北投區中庸里,0%,91%,,0%,64%,71%,1%,18
臺北市北投區八仙里,0%,79%,94%,30%,14%,34%,0%,18
臺北市文山區興業里,70%,,,39%,55%,34%,0%,18
臺北市文山區興安里,70%,0%,,59%,34%,34%,1%,18
臺北市文山區景華里,70%,50%,0%,50%,27%,86%,63%,18
臺北市文山區景東里,,0%,0%,70%,34%,0%,0%,18
臺北市內湖區週美里,,0%,0%,50%,49%,0%,0%,18
臺北市內湖區金湖里,,50%,0%,0%,76%,0%,0%,18
臺北市中正區螢圃里,0%,0%,0%,50%,42%,54%,1%,18
臺北市中正區板溪里,,91%,,50%,34%,0%,0%,18
臺北市中山區江寧里,,0%,,59%,49%,0%,0%,18
臺北市中山區民安里,70%,,43%,50%,34%,0%,0%,18
臺北市中山區中庄里,0%,0%,73%,30%,42%,0%,0%,18
臺北市大安區龍圖里,0%,0%,,59%,42%,0%,0%,18
臺北市大安區芳和里,0%,0%,0%,50%,42%,0%,0%,18
臺北市大安區民輝里,,0%,0%,7%,76%,34%,0%,18
臺北市大安區民炤里,,50%,73%,7%,55%,0%,0%,18
臺北市大同區國順里,70%,0%,73%,59%,14%,95%,93%,18
臺北市士林區福志里,,0%,,50%,55%,0%,0%,18
